action|action_type|disaster_type_title|disaster_type_detail|doc_page|doc_path|doc_title|doc_publisher|date_added|context_geography|context_usertype|notes
Communities with land use planning authority can set up incentive programs.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
A municipality must clearly establish the purpose of the program, identify the areas eligible for the program and amenities the program will generate.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Form a committee to determine the structure of an incentives program.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
This committee can also operate as a selection committee once the program.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
The selection committee decides which developments qualify for the incentive.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Determine the type of incentive that will be most effective in the community.|risk mitigation|general|general|115|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Local and regional policies can be used to impose stricter rules on development in wetland areas and can be tailored to the local context.|risk mitigation|general|general|118|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Become familiar with provincial level policies.|risk mitigation|general|general|118|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities with land use planning authority, adapt provincial policies into local land use zoning, and by?laws.|risk mitigation|general|general|118|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Promote the stewardship of wetlands through education and community engagement.|risk mitigation|general|general|118|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Effective stewardship of wetlands requires that community members take an active role in their management.|risk mitigation|general|general|118|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Local communities cannot implement regulations but can advocate to the province to strengthen existing regulations or to develop regulations from existing provincial policies.|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Become familiar with provincial wetland regulations, or policies.|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Ensure that local land use by?laws comply with provincial regulations.|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities with land use planning authority, enact a by?law, or amend an existing by?law to place more stringent restrictions on development than the existing provincial regulations.|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities without land use planning authority, advocate to the province for developing and enforcing wetland regulations.|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Report any wetland regulation violations to the provincial department responsible for the regulation (see legislative section for the responsibilities of provincial departments).|risk mitigation|general|general|122|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any community with land use planning authority can establish a zone to deal with coastal issues.|risk mitigation|general|general|125|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities without land use planning authority can advocate to provincial authorities to establish provincial coastal zoning.|risk mitigation|general|general|125|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Gather and map date of coastal features and areas at risk of flooding and/or erosion to identify a coastal zone.|risk mitigation|general|general|125|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Create a zone by amending an existing land use by?law or by developing a new land use by?law.|risk mitigation|general|general|125|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Place restrictions within the zone, such as setbacks, that will protect public safety and environmental and cultural features.|risk mitigation|general|general|125|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Restrictions in a by?law must comply with the strategies in a community�s statutory community plan and should not contradict guidance, action and management plans.|risk mitigation|general|general|126|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Gather data and map expected sea level rise and erosion to back up setback or buffer requirements that take these issues into account.|risk mitigation|general|general|126|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities with land use planning authority can apply stricter coastal setbacks and buffers in their area.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities implement setback or buffer requirements with land use by?laws.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Form a committee to research and make recommendations on setbacks.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Review applicable provincial legislation in order to determine the criteria for setbacks or buffers.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Gather data and map areas at risk to flooding and/or erosion, important coastal habitats, and other coastal areas that are valued by the community.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
"Gather data and map projected sea level rise and
erosion to back up setback or buffer requirements that take these issues into account."|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Establish a community engagement strategy highlighting the principles and justifications for introducing setbacks.|risk mitigation|general|general|131|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any municipality with land use planning authority can implement a local subdivision by?law.|risk mitigation|general|general|135|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Determine the local climate change issues and appropriate subdivision restrictions for dealing with those issues.|risk mitigation|general|general|135|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Municipal planners, hired expertise, or a committee can carry out research into issues and appropriate subdivision restrictions for climate change at the coast.|risk mitigation|general|general|135|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities with land use planning authority, develop a local subdivision by?law, or amend an existing one, to include subdivision restrictions deemed appropriate for the community in dealing with climate change.|risk mitigation|general|general|135|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities that do not have land use planning authority, advocate to the province to develop subdivision regulations that address coastal protection and climate change adaptation.|risk mitigation|general|general|135|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any community with land use planning authority and a statutory community plan can use development standards.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Gather data about anticipated local hazards and risks due to climate change.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Determine what standards are appropriate for dealing with climate change risks.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Amend the statutory community plan to include development standards.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Standards can be applied to the entire area of the municipality or a part of the municipality where there is zoning.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Include development standards in a land use bylaw or subdivision by?law.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities without land use planning authority, advocate to the province to include climate change adaptation into provincial development standards.|risk mitigation|general|general|138|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any community with land use planning authority can enter into a development agreement with a landowner or developer in each of the four Atlantic Provinces.|risk mitigation|general|general|140|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Develop strategies for development agreements in a statutory community plan or guidance, action, and management plans.|risk mitigation|general|general|140|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Gather data and map areas desirable as sending areas: places that support important natural processes and serve as natural protective barriers; or areas of natural hazards such as those prone to flooding and erosion|risk mitigation|general|general|144|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Establish a community engagement strategy to promote the program.|risk mitigation|general|general|144|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Develop a land use zone and by?law for sending area properties.|risk mitigation|general|general|144|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
A community could use land swap as a strategy within a land acquisition strategy, statutory community plan, or guidance, action, and management plan.|risk mitigation|general|general|148|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify public lands that could be offered up in a swap and private coastal lands that would benefit the community and that could further climate change adaptation objectives|risk mitigation|general|general|148|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Develop a community engagement strategy for approaching landowners or other governing bodies about land swaps|risk mitigation|general|general|148|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any incorporated community has the authority to redevelop its community owned public lands or to acquire land for redevelopment.|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities with land use planning authority can amend their land use by?laws and zoning to change the land uses permitted in a coastal area|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Establish a committee to make recommendations on land use changes and redevelopment.|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify lands that require a land use change through data gathering and mapping.|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Acquire suitable land if it is privately owned.|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Develop a strategy for conversion or redevelopment.|risk mitigation|general|general|150|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any community with land use planning authority can use variances within an existing land use by?law|risk mitigation|general|general|152|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Develop strategies for variances in a statutory community plan or guidance, action, and management plans.|risk mitigation|general|general|152|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
This simplifies decisionmaking when variances are brought forward by developers and prevents poor development decisions when approving a variance for development that deviates from the by?law.|risk mitigation|general|general|152|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Use waivers as a short?term approach to dealing with coastal development while working towards long?term solutions.|risk mitigation|general|general|154|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Include requirements for a waiver in a land use zone.|risk mitigation|general|general|154|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Establish a waiver that can be used with individual developments, as a condition on a variance or through a development agreement.|risk mitigation|general|general|154|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Seek legal expertise for developing a waiver.|risk mitigation|general|general|154|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Advocate to the province for rolling easements. See the Legislative Section of this document to determine the provincial department responsible for Crown lands.|risk mitigation|general|general|161|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
For communities with land use planning authority, identify opportunity for coastal protection measures using rolling easements on land subject to the local land use planning authority.|risk mitigation|general|general|161|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify land trusts that are active in the local area.|risk mitigation|general|general|165|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Promote conservation easements to residents through community engagement.|risk mitigation|general|general|165|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Place conservation easements on land at risk to climate change.|risk mitigation|general|general|165|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities can implement managed retreat.|risk mitigation|general|general|168|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Partnerships with organizations and provincial governments help in providing resources and funds for managed retreat.|risk mitigation|general|general|168|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Developing a shoreline plan will identify areas at high?risk where managed retreat may be the best option for adaptation.|risk mitigation|general|general|168|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communicating these risks to the community and maintaining transparency about the process is vital for a successful retreat plan.|risk mitigation|general|general|168|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Retreat can be achieved using land acquisitions, regulating the types of allowable structures, and using relocation assistance for property owners.|risk mitigation|general|general|168|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify through data gathering and mapping, structures and properties that might be best suited for abandonment.|risk mitigation|general|general|171|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
If a structure is slated for abandonment, ensure that the structure will not pose a risk to public safety.|risk mitigation|general|general|171|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Structures may need to be physically removed from coast.|risk mitigation|general|general|171|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Focus on public land at risk first.|risk mitigation|general|general|171|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Encourage private landowners to use a managed abandonment approach by entering into easement agreements with a municipality or land trust.|risk mitigation|general|general|171|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify if the area and protection method require having control over the foreshore.|risk mitigation|general|general|174|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Approach the province regarding a foreshore lease.|risk mitigation|general|general|174|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
If the province agrees to a lease, the lease will require a land survey|risk mitigation|general|general|174|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any community with land use planning authority can develop design guidelines for the municipality or for a part of the municipality.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Establish a committee.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Identify areas at risk to climate change through data gathering and mapping.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Determine appropriate setbacks and other building restrictions that can be included in the guidelines for adaptation.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Engage with the community while developing the guidelines.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Community engagement will help gain public support for the guidelines when they come to council for approval.|risk mitigation|general|general|177|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Conservation subdivision design can be required by communities with land use planning authority through land use bylaws and zoning, subdivision by?laws, development standards, development agreements, variances, and urban design standards.|risk mitigation|general|general|180|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Communities without land use planning authority can use education and community engagement to encourage developers to use this design method for new developments.|risk mitigation|general|general|180|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Determine through data gathering and mapping where conservation subdivision design would be suitable for new developments.|risk mitigation|general|general|180|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Encourage the provincial government to develop provincial CSD policies and by?law.|risk mitigation|general|general|180|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Any government, organization, or private landowner can use this tool.|risk mitigation|general|general|183|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|any|trusted authorities, communities, citizen|
Contact the Stewardship Centre for British Columbia about using this tool in Atlantic Canada.|risk mitigation|general|general|183|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
Any community can establish a monitoring program.|risk mitigation|general|general|187|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
Establish a partnership with experts.|risk mitigation|general|general|187|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
Engage with citizens about climate change issues at the coast|risk mitigation|general|general|187|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
Citizen science can be used to monitor erosion and flooding.|risk mitigation|general|general|187|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
Residents and others can provide this information which also enhances the participatory approach to monitoring.|risk mitigation|general|general|187|Actions\Adapting to Climate Change in Coastal Communities In Canada White Paper.pdf|Adapting to Climate Change in Coastal Communities in Canada White Paper|Natural Resources Canada|2019-10-09|Country=Canada,Region=Atlantic Canada|trusted authorities, communities, citizen|
